row_id,created_at,event_time,symbol,event_type,schema_version,scheduler_status,missing_outputs,data_health_status,allow_trading,last_success_time,last_error
13_System_Health_BTCUSDT_SYSTEM_HEALTH_b0919b22acdec169,2026-06-23T10:12:48+00:00,2026-06-23T10:12:48+00:00,BTCUSDT,SYSTEM_HEALTH,v3,,,,,,
13_System_Health_BTCUSDT_SYSTEM_HEALTH_8e275bd9969deafb,2026-06-23T10:12:48+00:00,2026-06-23T10:12:48+00:00,BTCUSDT,SYSTEM_HEALTH,v3,HEALTHY,[],UNHEALTHY,False,,
13_System_Health_BTCUSDT_SYSTEM_HEALTH_8e275bd9969deafb,2026-06-23T10:12:48+00:00,2026-06-23T10:12:48+00:00,BTCUSDT,SYSTEM_HEALTH,v3,HEALTHY,[],UNHEALTHY,False,,
13_System_Health_BTCUSDT_SYSTEM_HEALTH_8e275bd9969deafb,2026-06-23T10:12:48+00:00,2026-06-23T10:12:48+00:00,BTCUSDT,SYSTEM_HEALTH,v3,HEALTHY,[],UNHEALTHY,False,,
