time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Open Interest (열기),Open Interest (고가,Open Interest (저가),Open Interest (닫기),SMA,CVD
1567382400,10000,10412.65,10000,10391.63,,,,,,3096.291,,,,,,,,,,,,,,,
1567987200,10316.62,10475.54,9884.31,10302.22,,,,,,110846.484,,,,,,,,,,,,,,,
1568592000,10302,10353.81,9530.02,10023.04,,,,,,160591.544,,,,,,,,,,,,,,,
1569196800,10027.69,10046.91,7700.67,8041.96,,,,,,324501.177,,,,,,,,,,,,,,,
1569801600,8042.08,8499,7709.01,7852.79,,,,,9322.328,257976.889,,,,,,,,,,,,,,,
1570406400,7851.01,8788,7764.42,8274.66,,,,,8973.105333333333,367955.166,,,,,,,,,,,,,,,
1571011200,8274.33,8408.62,7812,8218.23,,,,,8721.480222222222,508975.286,,,,,,,,,,,,,,,
1571616000,8218.23,10408.48,7172.76,9533.32,,,,,8992.093481481481,881463.175,,,,,,,,,,,,,,,
1572220800,9534.37,9930.13,8933,9197.88,,,,,9060.688987654321,697075.617,,,,,,,,,,,,,,,
1572825600,9197.86,9550,8669.85,9041.31,,,,,9054.22932510288,665125.812,,,,,,,,,,,,,,,
1573430400,9041.31,9072.91,8355.78,8504.04,,,,,8870.832883401921,632991.917,,,,,,,,,,,,,,,
1574035200,8504.13,8504.71,6762.73,6900.86,,,,,8214.17525560128,1196506.081,,,,,,,,,,,,,,,
1574640000,6899.77,7850,6510.19,7387.38,,,,,7938.57683706752,1524870.441,,,,,,,,,,,,,,,
1575244800,7388,7800,7070,7508.2,,,,,7795.117891378346,983668.839,,,,,,,,,,,,,,,
1575849600,7507.87,7676.48,7004.77,7115,,,,,7568.411927585564,766967.38,29.43166738436932,29.43166738436932,,29.43166738436932,,,,,,,,,,,
1576454400,7115.45,7517.61,6427,7502.92,,,,,7546.581285057043,1031936.164,32.94838715064674,,,,,,,,,,,,,,
1577059200,7502.92,7691,7078.89,7383.67,,,,,7492.277523371362,901439.862,32.41363015001386,,,,,,,,,,,,,,
1577664000,7383.68,7495,6863.44,7354.36,,,,,7446.305015580908,774521.268,32.2749767986862,,,,,,,,,,,,,,
1578268800,7354.36,8468.42,7345,8186.7,,,,,7693.103343720605,1484603.363,40.10978233235611,,,,,,,,,,,,,,
1578873600,8186.22,9205.3,8053.78,8705.85,,,,8371.301,8030.685562480404,1316693.038,44.42806764257269,,,,,,,,,,,,,,-975346.3710999998
1579478400,8705.98,8820,8247,8611.21,,,,8394.149476190476,8224.193708320268,850097.409,43.8079488152923,,,,,,,,,,,,,,-906582.9308999998
1580083200,8611.21,9599,8565,9338.2,,,,8484.05904988662,8595.52913888018,1180388.341,49.62461643052019,,,,,,,,,,,,,,-731950.4525285712
1580688000,9340.49,10184.34,9105,10167.38,,,,8644.3753308498,9119.479425920119,1122176.4,55.30715541452992,,,,,55.30715541452992,,55.30715541452992,,,,,,,-467075.69590680255
1581292800,10167.37,10540,9626.64,9921.86,,,,8766.040537435534,9386.939617280079,1171759.356,53.3868039517655,,,,,,,,,,,,,,-339023.2357252023
1581897600,9921.87,10286,9293.07,9943.12,,,,8878.143343394055,9572.333078186719,936567.245,53.5372446800342,,,,,,,,,,,,,,-133969.36746565925
1582502400,9943.12,10000,8409,8537.84,,,,8845.733501166049,9227.502052124479,1268174.767,43.535338811769954,,,,,,,,,,,,,,-69222.9882784536
1583107200,8537.84,9204,7997.7,8038.46,,,,8768.850310578806,8831.154701416319,1065944.442,40.63043858804127,,,,,,,,,,,,,,-112161.44920431517
1583712000,8038.99,8182.31,3621.81,5357.32,,,,8443.942661952253,7673.2098009442125,3204795.803,29.319119661451722,29.319119661451722,,29.319119661451722,,,,,,,,,,,-456229.1808039042
1584316800,5354.81,6911,4413.62,5810.17,,,,8193.107170337753,7052.196533962809,3303441.243,32.725788492864666,,,,,,,,,,,,,,-452915.1052987705
1584921600,5810.3,6960.71,5670,5876.27,,,,7972.456011257967,6660.221022641873,2461138.433,33.2316485527884,,,,,,,,,,,,,,-215522.51955603043
1585526400,5876.27,7290,5850,6768.9,,,,7857.831629233398,6696.447348427915,2542714.864,39.81332910168363,,,,,,,,,,,,,,241424.56887787723
1586131200,6768.9,7457,6741,6900.52,,,,7766.659093115932,6764.47156561861,2493042.328,40.74091929180414,,,,,,,,,,,,,,892285.4896514126
1586736000,6900.19,7290,6465.33,7118.03,,,,7704.8848937715575,6882.324377079073,2263527.378,42.32290029542965,,,,,,,,,,,,,,1696733.692065564
1587340800,7118.04,7802.38,6735.95,7694.17,,,,7703.864427698076,7152.939584719382,2303688.83,46.404305731437475,,,,,,,,,,,,,,2643966.716154558
1587945600,7693.63,9479.77,7623.98,8900,,,,7817.78210125064,7735.293056479588,3488311.037,53.77672136463842,,,,,,,,,,,,,,3833207.1700446
1588550400,8899.99,10080,7940,8719.53,,,,7903.662853512484,8063.372037653059,3809614.655,52.6103030479133,,,,,,,,,,,,,,4546366.184992733
