time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Open Interest (열기),Open Interest (고가,Open Interest (저가),Open Interest (닫기),SMA,CVD
1780444800,66730.1,67195.7,66620.4,66900.2,71894.94737768128,73061.93284556494,70211.22327842459,68211.90450214747,66970.12827260564,14643.212,26.70948121252094,,,,,,,,,,,,,,-2738069.906330975
1780448400,66900.3,67010,66442,66890.8,71812.2341978849,73000.52853864389,70092.63673276656,68086.08502575247,66943.68551507042,10585.483,26.646003677375347,,,,,,,,,,,,,,-2741797.6272518355
1780452000,66890.8,66913,66547.4,66588,71725.88321940746,72936.72228452803,69967.47113516775,67943.4102613951,66825.12367671361,4630.414,24.61648374787137,,,,,,,,,,,,,,-2745611.3189421385
1780455600,66588,66635,65359.1,65818.4,71628.23886867346,72865.89320707004,69819.29002319748,67741.02833173842,66489.54911780907,29211.393,20.36986510955215,,,,,,,,,,,,,,-2751843.839328603
1780459200,65818.3,66594.7,65791.4,66439.2,71542.46963117472,72801.9460109798,69698.572522369,67617.04468109667,66472.76607853938,13975.579,30.748032950179606,,,,,,,,,,,,,,-2756151.778821118
1780462800,66439.1,67380,66439.1,67290.2,71472.18418272556,72747.10276708945,69612.55921799867,67585.91661623032,66745.24405235959,22670.597,41.92221663748318,,,,,,,,,,,,,,-2757890.333885775
1780466400,67290.2,67493.8,66913.1,66949.3,71397.42576648216,72689.41318731742,69517.44281735586,67525.28646230361,66813.26270157305,10542.247,39.1939615173221,,,,,,,,,,,,,,-2760467.335801417
1780470000,66949.4,67299.9,66828.5,67186.7,71327.82699348246,72634.65982226949,69434.20200245029,67493.04013256042,66937.7418010487,6907.108,42.023596454420876,,,,,,,,,,,,,,-2762141.089153664
1780473600,67186.7,67226.7,66933.6,66987.7,71256.08935722655,72578.47116732154,69346.8269309342,67444.912500888,66954.39453403247,7143.703,40.32940473032302,,,,,,,,,,,,,,-2764335.7900914117
1780477200,66987.7,67313.9,66620,67040.9,71186.41680586743,72523.37095670142,69264.47239768655,67406.43511985104,66983.22968935498,18551.588,41.014043056417876,,,,,,,,,,,,,,-2764554.653987469
1780480800,67041,67448,67032.6,67260,71121.51735453078,72470.99910638598,69192.88409776917,67392.48891796047,67075.48645956999,6922.156,43.87037330716443,,,,,43.87037330716443,,43.87037330716443,,,,,,,-2764093.4207505686
1780484400,67260,67340,67026.6,67040.1,71054.05591065424,72416.96030930751,69115.99895142028,67358.92806863089,67063.69097304666,3936.714,41.68843285198811,,,,,,,,,,,,,,-2764051.0396314682
1780488000,67040.1,67142.1,66760,67050.8,70987.88639146987,72363.56567936415,69042.2418460124,67329.58253828509,67059.3939820311,8318.896,41.840011875678485,,,,,,,,,,,,,,-2763220.418999901
1780491600,67050.7,67220.2,66605.1,66884.8,70920.06678169352,72309.05059797745,68965.19035151196,67287.22229654365,67001.19598802074,10450.216,40.09851893728445,,,,,,,,,,,,,,-2763464.1637618165
1780495200,66884.8,66975,66611.9,66840.9,70852.64253736801,72254.64113929111,68889.32283895796,67244.71541115854,66947.76399201383,7494.408,39.628753087768125,,,,,,,,,,,,,,-2764398.44787974
1780498800,66841,66880,66036.2,66046.5,70773.20216484953,72192.86859064145,68787.79345185233,67130.59965771488,66647.34266134255,19094.974,32.26299861876275,,,,,,,,,,,,,,-2767062.3215102423
1780502400,66046.6,66359.4,65508.3,66037.4,70694.92444311648,72131.62014695347,68689.56511428618,67026.48540459917,66444.02844089504,24860.392,32.189190569584596,,,,,,,,,,,,,,-2771840.149271173
1780506000,66037.4,66159,65674.9,65934,70616.23147711456,72069.95228479474,68591.15207449024,66922.43917558972,66274.01896059669,9175.749,31.31262913155372,,,,,,,,,,,,,,-2777036.82667392
1780509600,65934,66141.7,65711.4,66006.6,70540.03922129449,72009.62042126444,68498.84664325844,66835.21639696213,66184.87930706446,5382.664,32.698421985825306,,,,,,,,,,,,,,-2781225.9477525954
1780513200,66006.5,66030.7,65199,65428.6,70455.55262259541,71944.1376310031,68389.19497742777,66701.25293058479,65932.78620470964,13312.575,27.876354310523723,,,,,,,,,,,,,,-2786283.9692047304
1780516800,65428.5,65581.6,64711.1,64971.7,70364.91043048639,71874.7601421374,68267.14158537678,66536.53360386242,65612.4241364731,18176.176,24.76707823008053,,,,,,,,,,,,,,-2792591.3387090433
1780520400,64971.8,65829.4,64919.1,65738.6,70288.44248948661,71813.70382231513,68176.83652875619,66460.5399273041,65654.48275764873,12497.286,37.39022704166083,,,,,37.39022704166083,,37.39022704166083,,,,,,,-2797107.7886415166
1780524000,65738.6,65814.2,64733.9,64882.1,70199.08145660254,71744.73264000354,68059.1673670149,66310.2123151799,65397.02183843248,13287.809,31.111711311073492,,,,,,,,,,,,,,-2802459.6061042305
1780527600,64882.1,64957.7,64050.8,64117.7,70098.56275484052,71668.8417679637,67918.4006753358,66101.40161849611,64970.58122562165,19130.199,26.78833875787811,,,,,,,,,,,,,,-2809123.6503800196
1780531200,64117.7,64412.9,62911.9,63314.4,69986.4278332729,71585.71299415312,67753.97207978809,65835.97289292506,64418.5208170811,32017.216,23.147911582884845,,,,,,,,,,,,,,-2818202.2824390666
