time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Open Interest (열기),Open Interest (고가,Open Interest (저가),Open Interest (닫기),SMA,CVD
1774972800,66700,68600,66695.9,67803,68973.06223104206,69710.17167364282,68099.07264649894,67175.6625433439,67221.53306695407,60172.062,53.67374767287894,,,,,,,,,,,,,,681752.9240689954
1774987200,67803,68382.9,67794.8,68241.5,68960.97029333889,69695.55802514886,68104.15933769541,67277.17087254925,67561.52204463605,16303.201,56.66552309020632,,,,,,,,,,,,,,688221.9609195705
1775001600,68241.4,68330,67534.9,68134,68947.30136287048,69680.02013435136,68105.22507563487,67358.77364659218,67752.34802975737,21051.997,55.71557045369354,,,,,,,,,,,,,,692069.9469272337
1775016000,68134,69288,67965,68651.9,68942.41869571559,69669.79008326329,68124.74918007648,67481.92853739292,68052.19868650491,39490.528,59.259098054204415,,,,,,,,,,,,,,699312.460743691
1775030400,68651.9,68821.5,68360,68669.9,68937.91425446409,69659.84092820594,68144.21885221661,67595.06867668882,68258.0991243366,19706.052,59.38075248088513,,,,,,,,,,,,,,707741.978196676
1775044800,68670,68938.8,67883.7,68877,68936.90740728287,69652.05146623375,68170.3896074946,67717.15737414703,68464.3994162244,38470.852,60.83000180221686,,,,,60.83000180221686,,60.83000180221686,,,,,,,719032.5751303291
1775059200,68876.9,69142.6,67900.4,68143.8,68923.79819393935,69637.0439889578,68169.4399786555,67757.79000518065,68357.5329441496,27241.301,53.546069953334666,,,,,,,,,,,,,,726653.4674988724
1775073600,68143.7,68510.6,67927,68086.5,68909.95855437011,69621.61569056021,68166.47783656066,67789.09571897297,68267.18862943306,11315.49,53.01182838480124,,,,,,,,,,,,,,732470.8948799354
1775088000,68086.4,68639.1,66455.9,66538.4,68870.75923942184,69590.93692747006,68108.33219954064,67669.98184097554,67690.92575295537,51050.567,41.08505387172101,,,,,,,,,,,,,,732872.3227961353
1775102400,66538.4,66898.5,66171.8,66887.9,68837.98470653883,69564.04103764449,68064.74533527133,67595.49785612072,67423.25050197025,25041.797,44.14053662906175,,,,,,,,,,,,,,735620.4525298399
1775116800,66887.8,66887.9,66065.1,66180.6,68794.06099238117,69530.37495766793,67997.45443044022,67460.74567934732,67009.03366798017,19810.094,39.65797704788314,39.65797704788314,,39.65797704788314,,,,,,,,,,,736220.1800031918
1775131200,66180.6,67080,65676.1,66810.6,68761.27651316825,69503.3125202782,67955.06677221021,67398.827043219,66942.88911198678,54090.961,45.01422178872664,,,,,,,,,,,,,,741914.3106695578
1775145600,66810.6,67400,66550,66943.2,68731.22566171092,69477.83876385752,67918.9286732027,67355.43399148386,66942.99274132452,29514.463,46.098716190186956,,,,,,,,,,,,,,749877.0444153175
1775160000,66943.2,67078.9,66681.3,66868.5,68700.43680779835,69451.87519406789,67881.41336344546,67309.05932562826,66918.16182754967,8851.039,45.553634328212034,,,,,,,,,,,,,,756238.4664710048
1775174400,66868.6,66976.2,66240,66550,68664.8923977521,69423.00081402741,67833.86288617956,67236.7679612827,66795.44121836645,18212.835,43.2077424394043,,,,,,,,,,,,,,760259.4830928171
1775188800,66550.1,67233.3,66375.1,67008.8,68637.51896969009,69398.97891538037,67804.39635453028,67215.05672687483,66866.56081224431,13472.972,47.40914100415393,,,,,47.40914100415393,,47.40914100415393,,,,,,,765180.6859411235
1775203200,67008.8,67258,66644,66983.4,68610.17816027373,69374.94330428206,67775.07505615421,67192.99418145818,66905.50720816288,12486.352,47.200955478778745,,,,,,,,,,,,,,768444.0264229246
1775217600,66983.5,67350,66478.5,66806.1,68580.3586865502,69349.3826743887,67740.4688041487,67156.1471165574,66872.37147210859,22358.522,45.69263257023234,,,,,,,,,,,,,,769267.1895255065
1775232000,66806,67046.1,66714.1,66857,68551.87341900391,69324.58284678284,67708.91634685767,67127.65691498051,66867.24764807239,7921.876,46.22391620578714,,,,,,,,,,,,,,770766.4205230805
1775246400,66857,66946.3,66791.8,66930,68525.0655938964,69300.75615178997,67681.09790589847,67108.83244688713,66888.16509871492,4815.276,47.024365119743344,,,,,,,,,,,,,,772581.4653304095
1775260800,66930,66935.3,66773.3,66799.1,68496.5372369725,69275.86405077713,67649.5979806878,67079.33411861217,66858.47673247661,3902.732,45.71046733878597,,,,,,,,,,,,,,773851.9599656118
1775275200,66799.1,67023.7,66745.5,66982,68471.5035636341,69253.03953285895,67625.75519566324,67070.06420255387,66899.65115498441,6007.355,47.90088884408364,,,,,,,,,,,,,,775573.5841593663
1775289600,66982.1,67223.8,66874.5,67128.9,68449.31176919387,69231.90381611409,67608.0103672467,67075.66761183445,66976.06743665627,7992.931,49.65774822735908,,,,,,,,,,,,,,777892.4756680013
1775304000,67128.9,67554.5,67003.7,67357.3,68431.26198788488,69213.2510418244,67599.0564255593,67102.4897440407,67103.14495777086,16379.357,52.34831595790748,,,,,52.34831595790748,,52.34831595790748,,,,,,,781550.459128195
1775318400,67357.4,67523.8,67226.4,67262.7,68411.94691370496,69193.84257374654,67587.04369607504,67117.74786365587,67156.32997184724,11176.887,51.12943304447742,,,,,,,,,,,,,,783795.5977826559
1775332800,67262.8,67452.7,67150.6,67271,68393.08828703215,69174.70981181871,67575.75642121522,67132.34330521245,67194.55331456482,5311.075,51.23671430662627,,,,,,,,,,,,,,786332.7303747871
1775347200,67271.1,67279.2,66900,67113.5,68371.93806741179,69154.20026145235,67559.24726331468,67130.54870471603,67167.53554304321,6903.652,49.03689694042752,,,,,,,,,,,,,,787970.7406248107
1775361600,67113.4,67160,66575.5,66787.4,68345.74735555374,69130.65001009461,67531.68128962487,67097.86787569545,67040.82369536214,13916.33,44.75260912413138,44.75260912413138,,44.75260912413138,,,,,,,,,,,788127.3851367368
1775376000,66787.4,67132.8,66782.1,66972.7,68323.05235794128,69109.17787069069,67511.71767213827,67085.94712562922,67018.1157969081,6904.214,47.55647256436014,,,,,,,,,,,,,,788926.6553141937
